id,text,hash
20,"A mixture of living, shopping and entertainment, make the central city vibrant and alive 24 hours a day, must be safe.",3aa8ce628fbc8d31e0704c5266bde138f65dc08957e0d505bda5f2eaf0cc5da0
21,"Mix of homes business and entertainment. Open air entertainment area, so that people are more likely to live there and the place isn't an after dark ghetto.",cee6cbfa17547be1702bc4e35834750cdce593a90768aa7db2011e9e8e7c0b5a
22,"I want mixed use spaces, weekday weekend & night use safe & well lit",c63c501dc6aff5157fe2d2e9056ac547d929e9b8fd4ea6e87c2c7534c8338bbf
23,Apartments above shopping areas to encourage people into the city.,a6aebe164ecf87a44d167feb70dad62c20b008a65977d59ff240bd4d52f874db
24,"Vibrant city combining housing, tourism, entertainment, commerce with retail markets and green spaces",10182711aaef2c60f04928795e167222321daf0310036579801186fbb28b0f90
25,"I want a mix of retail office and living space, apartment inner city living so the city is vibrant at all hours. a safe environment",dbc5661033a2c034a7f5cb1949fc52941157d3f865fb04816b80ea4379dc4d26
26,"a vibrant business area with supporting restaurants and cafes, a variety of shops.",9d9cd7d94d7262c900059edd92bd7df48bd6d8cb096c5325f19d7e1e13518c90
27,"I would like the central city to be a mixture of green spaces (where buildings have come down or been demolished) shops, providing essential goods and services (but no cluster of take away / fast food outlets) and apartment buildings.",9b6ff18d97a62d7587c5047836596904c5cc93f5480d81f35a2b8125364b7db5
28,"We will know we have made the central city a great place because people will be back in it working, shopping, dining, enjoying a night out etc",995904e0611a32629da2e3243155325bd8701782296766619ad10e2dc468eb45
29,"Mixed use – business, retail, hospitality, entertainment plus low rise residential – to achieve vibrant, safe spaces that people want to be in.",b31b1b0702f2feea5e5c6152d37262f3574123431d7e6db8913b9d0b0b1f791e
30,"A mixture of retail, residential, arts, and commercial, lots of green space, green cycle belts connecting east west and north south.",cba49b100c80fdf0cebd5b6c5a799178edf897852dc70d2ba386db6bd578e06f
31,"Mix of businesses, residences, small parks, shops, cafes, gardens.",033586b5266eb0c7ecae59528016042591fe16c84177daf0593717b3a1e06c5b
32,"Encourage a mix of education, business, residential, green spaces.",e3250ff245f7625e324893fec116a8784493ea575fb55fa0f6c923c18d917e23
33,"Think retail ground floor, office space 1st floor and living space 2nd floor, with a garden roof!",0a54de3edc31c6620027dcda7f0a775cdd1fcc99743c9cfd719242bba63d50bd
34,"Apartments above shops and restaurants, with roof-top gardens and courtyards",15cb8c93b16ed9ea8ca1fef49ac123db54d78e3ec87d341bc6114e7da158fa49
35,"City squares similar to European cities with shops, cafes etc.. Second and third floors of these buildings could be used for offices or apartments.",dee32efe2e63c0238d7e060784ea14458e10668e4a9fa4ed95fc576078deab4c
36,The European style of retail underneath two or three floors of apartment accommodation surrounding central and grassed squares.,1e19dc12189253b893180afe301e933a9e2af4d20adcb1c2fb9359236c7c824c
37,"where whole blocks are cleared, consider creating 3 storey blocks with an inner square as in Barcelona, Spain. The buildings are used for shops on the outer street level and restaurants / bars in the inner sheltered square, which is paved, treed, artworks / sculptures etc.. On the second / third levels are business and accommodation.",17d833708f9e4ff0b1f8d86d5ae14109ada78cb75f1fc6caa68ccf5deebbd940
38,"cafes shops, on bottom level, apartment living on level two up, or commercial space.",63c34a3db03b3d0005dd7567d9fd4c330b813303059c9b2732a27bf31d25dfb6
39,light and airy spaces around shops and buildings,ceede5e542bd3e3d5c7e48b1585c30b0f3c2684896ff764f044bc207badfc0bb
40,"Eco friendly / sustainable buildings of imaginative design, plenty of light / space and greenery.",250e235b613126c9121f80be898288ce42a11ef2252df58f9ac1190bbdb80a05
41,I want boutique shopping precincts to make for a distinctive shopping and living experience rather than the kind of experience that is a replica of any other shopping centre.,cc7a2197a242e1386ba5d72512464a8be3dd0ca7356bf1d40dcec8a28a614c59
42,"Central city can't compete with malls so shouldn't try (stick to things that malls can't do, street markets, events, green spaces, entertainment and eateries).",01046946530623aaaf55b2a50c3df75b0b3cd372726dec733270292c6dc5e1a4
43,"No franchise shops in the retail spaces in the city, keep them in the malls.",58070be9d5de0041ffac511005f620bfac830f46c7e1fefd6005091a0c6f86c2
44,"Small low rise, walker friendly central city with special boutique shops",d7db9c533647ed6918839b0a7ddef580a849de1e00a2f806d032ec6c36a79da1
45,Retail space needs to be pedestrianised,063539e9687dc8bd704aeb495b0ba16baa38b33ddabacab69bbfa40d3e9269e6
46,Lots of pedestrian only mall areas paved with recycled bricks,dcaa716a71a3ae30e29290a6385d60b6e24deef2294130e82dd6e3f799f0f154
47,less traffic more pedestrian mall type areas,8f8b8bed410d7683a80f59d354f9a300517b4c1b6a29baa2f081f8d0f0603117
48,"I want pedestrian mall areas, like Cashel or New Regent street",55e81f61bc61a66eff25bc260adcf33d75236b9e3183e409b55c3edc46fc7021
49,"Lots of pedestrian mall areas, few cars, a variety of cafes, bookstores, and lots of green spaces.",5eec1333976394bd867c92eb5f555dc7bcb0278f894a33b78c3880446abbf664
50,"Make the CBD a pedestrian mall only, open areas, trams and no cars.",1333a887a0fb115b3bac7174c339063ff0483ab8ae1014ca50c0c301aaa54627
51,"Shared use space, like Cashel Mall was-pedestrians",13208074a42116d69c7646022b7a0bc7bd066a33e624d27d76f70c18a3dcac35
52,covered outdoor areas,2579c426935814425e3aaa1712c3ceb94eeb674c6e5280573b9678ff8d4dbf59
53,covered lanes linking retail shopping areas to create a village atmosphere.,af9dbe52fe28a54d6bf56b918ffc8e64bee4bcba2348848f9a29d91441cf878e
54,Cashel mall & ajoining areas with retrctable roof tht cover the whole st for bad wthr,40bd0f702976dc5511cd0aae669c689ca2e8d16c4651a7b21de1fd16429ec020
55,Cheap covered walkway to the central retail area.,8b7a5dce96714ae514d4d43d6e7d101a321c4a6c5fcc806ee1f69694fdfed51b
56,"Covering in cashel mall with clear roofing so light can will come in, gives the city a covered shopping area but different from mall.",f716d6a58f3b983bd26d8257dd437c87fc5b9842df94cff9f2653917ee49fa46
57,"a covered area that can be used for a market or meeting place, good access and pedestrian friendly",b76678b056d8288baca96e5d5484d16206127f2a2c27f5e3f71b998a660a1e24
58,"don't want Timezone arcades, $2 shops (not a positive image for a new vibrant CBD, malls are a better place for them)",6b08b4a1c0f294ec8abf74ce90f1ca3c3c630a9b77a20c650505f80a45f3fb30
59,"I want my old places back! Dux De Lux, Arts and crafts, concert venues, Smiths bookshop.",fd9246b7b2bd2cf2a6db4cb8e03e9d6558e59d12c5b209610f5526c6b4fadfaa
60,"I've missed the arts centre weekend market. Great eateries like the Dux de Lux, the restaurants along the strip etc.. And the nightlife, clubbing and bars are important for young people as we need to have a way to relax after studying and celebrate events. SOL Square was one of the best places in Christchurch.",71b55fc8ef3653fad989d248264efa8f764327b2c7dc78747854a41e8b5d3bcb
61,The Arts Centre was a regular haunt – I miss that – and especially the Dux.,86341cb219c0776e0428c376eb8c6ea70a474806005c5a0c6847e02e461eac44
62,"Cafes / restaurants. Markets with artisan products. Unique shops that were at the Arts Centre. Brew pubs – Twisted Hop / Dux de Lux, small speciality shops, Toi Toi for example. City library. Events – lantern festival",d5e942830eca61e82de275213c471c4d021fd68c5d7bf8464353e02f162447ba
63,I have missed shopping at Ballantynes and a small craft shop under the car park.,d881fadef41b46194e352105e7f4cf056fae0c7ee47998d6a53beda1ed71c143
64,"I have missed running / walking along the river through town, missed going to the central library, sitting in Cathedral Square, wandering around the shops and sitting at a café for lunch / coffee.",8b38b513964f9aefb0e47666b0fa8555f357f2e316de0fa3c0a53e44cfd3e0de
65,"Ballantynes, Dux, the lanes, cafes, arts centre, galleries, library. I used to have language school students I would bring in to the city. Miss have a day out, meeting friends, browsing, eating, ending up choosing an armload of books and music, or taking home goodies from the market.",d9668724bc34d09b65002703f756a529165004cdae8f169439ebfad9b760d4ea
66,"The Shuttle taking people around through town; the Central library; access to independent theatres – Metro, Academy; Arts Centre and the market; Christchurch Art Gallery exhibitors and talks; Dux de Lux; Museums; Robert McDougall Gallery; shopping at Ballantynes; inner city restaurants. The freedom to walk around the inner city.",192c54f00777e36134b0fdb4e85e462b15da0184af04d4bca7031dac78de58f3
67,"Ensure that redevelopment doesn't exclude or make unaffordable space for small business who bring vibrance, variety & character to the city",6f7f9b3151f3271c3cc49c878810f9f2309b65443df3edf27430d2f6b6fd9fda
68,small shop spaces for small start up shops to trial their concept. Use some of the council owned land. Incremental increase in rent until able to move to a private commercial space,5fed78a7a3250e31dc0a93d3cee14740edeef136e60a67b81c802832a56621c6
69,"Create more retail space, lower average rent means higher number of boutique stores and coffee shops all equals a more interesting inner city.",ff416bf74ae13bcc9f345bc401ab4f7c42cf31abcc08253dafdcccaef465e5ca
70,I want small business spaces at affordable rental,4a0b6a20a4807891130ddbe117a8b2c9743eb51ac4bd2e4c8b93a0168df3dbe3
71,Places for small businesses where rent is not too high,4e30087b46584d7eecf11cfd4f851174fb851fc48bf264e48ff3dc10a278c95e
72,Rent needs to be subsidised in some areas to attract up and coming designers and entrepreneurs who need cheap rent to get started.,55c80bf591f89871579ba2ae04202256ae7b1857a4dc98ff543fb323ebf6e72b
73,"Before the earthquakes the central city was looking very run down, somewhat like a third-world town, and was not well patronised. It had lost its role as the heart of the city. By contrast the suburban malls were always buzzing, so one wonders what the difference was. The malls attracted people because they were clean, it was easy to park, you were sheltered from the elements, you could do most of your shopping there, they had good coffee shops and good food was available. This has led some people to say we should have a suburban-type mall in the CBD. This would, however, make the CBD just another suburb and the city would then have no heart. However, if we could make some use of the things that make malls attractive, without building a mall, people would come back.",cf1c2cb488439654292ffad54f05ab6c3afe78b5cba5b1cb83e3d7c17ebf6ab9
74,"Don't want no big shopping centres in centre town, go to suburbs for that kind of experience",2ff45723c430589c7466110b68225003d5d314d5dec910b8f7d8875e32ec3bf5
75,Malls are horrible places.,279eac7a820d4ceef28a6950bc9e9a4daf882edc9c6145f1d0e75fbe2f9c7440
76,"I don't want big multi national owned mall that gives the city a bland as per all the other malls feel need eclectic, creative small enterprise in the central city",0611297b5d9254b03abaad827cc24bef367bfad630fe30bccf140d2b04206007
77,Big flash mall with all the top shops of the world. Create one big shopping mall in central city around Ballantynes with good parking and fantastic cafes and eateries.,2480169f9022d0190612d48dc7f4b5c43945b6bd009273e508b0391baf33cf25
78,"Sheltered outdoor malls, strategic parking areas / buildings so people travel on foot / bike.",55d5ef845070c3526f0b4d6a70a0930031fdae582a42bf276eac383fc531604a
79,"Massive shopping mall in CBD, like Eaton Centre in Toronto or MBK in Bangkok, people love malls, let them have one downtown, they draw people in.",5362924947683ec44c32eeeafad92d06d3fdf98b8ec5eea7ca2375592b80c7ed
80,"We have noticed that there is a trend towards building large indoor shopping centres in city centres. and these centres form the nucleus of the city's retail shopping. The reasons are obvious and, in our experience, are hugely successful. I am not talking about centres like Christchurch's South City or Auckland's Westfield, but something larger and more up-market. These centres are always anchored by one or two major department stores and contain numerous up-market specialty stores. They always have a large food court and sometimes cinemas. I think that Christchurch's need for such a centre is great. We lived in Toronto. While we were there they demolished an entire city block and built the Eaton Centre, which is a wonderful concept and is now the retail heart of the city. When we visited Toronto again last year, we found that the Eaton Centre was absolutely packed with shoppers all the time. The centre is entirely enclosed and has a huge arched glass roof that lets in plenty of natural light.",03c9d8d6509d6635480b2ebae768970ef2e2bfa17e8399f5b4178a482f4762c5
81,"People go to malls, have biggest and best mall close to the CBD with ice skating, movies etc then lead off to the nice boutique shops, cafes, Ballantynes. green spaces.",7b17ddbf20c580d91a52f73b54dea05aa8c63d5da507831e9cd326a9f71b06be
82,Cohesive opening hours for CBD businesses. Actual late night shopping on Thurs / Fri instead of a hodge-podge of open places.,dab2d73216d3bb32b982543bbf1ead1d5e6f0bd2ce962aef3584444965a468ff
83,a city centre that doesn't close at 5.30 pm.,100c53c98d7975f462d2909f9a2304314abed8a4ccd33a9f04eca6bc2ae1230e
84,A CBD retail area that is under management to regulate shopping hours,6311ad94163b4046987b038fdb9a749ca3582c8d0126e016f014de620d1aa2e6
85,Huge central market place (24 hours) where people meet and shop etc,1226e971cd4868a90f6d8edded32de10757cf04603dc8a24c19e1468a56d392e
86,Wellington has incredible New World Metro supermarkets. which offer significantly better food options for office workers and city residents than anything I've seen elsewhere. Attract one of these to the CBD along with plenty of office space and you're on to something!,db4e359823a40d3a59b2a979aebee3116f7e5a8f7b0c9ce840e1242de51ce4be
87,"Businesses, professions, retail, creative ventures, spaces for markets and arts and crafts, not sanitised and all the same, create variation.",242280c512c27dbce8b6ebe5725bc1145fb68f5b1a104a88345241e063a82e6a
88,"Access to small businesses – dentist, photo lab, optometrist, bike shops. These businesses need central city premises. Big business is often duplicated throughout the city in suburban offices and malls.",c7ec9b2fccd1cd04ead62c2e822f115182a3a78baa69c8b0b4a078717ebdc00a
89,Space for diversity of small businesses.,91121e5dd60bc25026f66835e88ec6984847910efbe095b69259913dc389b48a
90,Don't want central city dominated by souvenir shops for tourists,1bf0e8aa35c25e9db0cca2380553145c598f33ab98d10188ab90d70ed9f6da36
91,A centre that has 10 gift / New Zealand shops as a weird hub!,9dea03ce976005f1424df13bf0617faf613f7aea0dbd48ac0abf4e4e458e7062
92,no large mass produced souvenir shops round the Square,b61e40ba94e3fb94dcf81bae2df13e26c5be07690ff1723014a3f02348a1686e
93,"Replace the souvenir shops around the square with buildings of cultural interest (galleries, museums etc) and cafes.",9988dd17e3580ee654aa49adeebe507372c8cf8ed58e251d96a43fbad35b1b86
94,"In the past few years its [ the central city ] been full of tacky market type stalls, souvenir shops.",1d0203eb1418224062d248e8c169ba8aebef303bd92809a8447d8d72b57a6015
95,Concentrate on low rise buildings with retail / cafe space on the ground floor and office / living space above,d350e4bc69d6d393e8b91d8bed6460625a83fd73a66dfbc06d7165a207436f4c
96,"I don't want banks, insurance, etc taking up street level shopping space.",709ceeeb54112d4c5da4942de895fd8c714efb311e8226d8df558ff6c9bb797e
97,Ground floor business in the square should engage people like cafes & restaurants rather than shut off ones like banks that make it look dead,f2f9cb31841771b4446b42b8bb97d49367bc7feb72e3dc8aa9e50627252dc00c
98,"architecturally designed buildings, retail and cafes on the ground floor with apartment style living above. internal courtyards for sheltered inner city living with spaces that many residents can share.",bb381d13c1fa5c4653646245dd5f6c344320e8eb542c85d14f91d575f2addba5
99,"Stop banks and other dead institutions from hogging key public areas, eg the south side of The Square. Have cafes and restaurants instead.",8064782e44d2e18b990174f5f95102a144a150e45e4dd8740c0d624a71fe8398
100,The utilisation of ground floor space within buildings fronting the square is where bars and cafes should be. Encourage the ANZ and BNZ to vacant their ground floor tenancies. They are the wrong occupies of ground floor retail space in the square.,a900cd8d02d1ea13234a1482fcb9b1a2e4b20927960b06935937383391bfc912
101,The ANZ and BNZ banks occupying the two northern sunny street corners in Cathedral Square with their painted out windows or fully drawn blinds need to be a non-complying activity or presence in such important spaces.,609d3dc05db2699247b218ee26de2fbc4d978bd5420508461d30f490b95cf0de
102,"Occupy every ground floor in The Square with bars, cafes and restaurants. Intermingle the odd owner occupied boutique shop.",debdb37acc6bb4a035d76d671ad98081fa5e0589a891cfd77a78ea3669c1ae2a
103,"Ground floor activities in CBD should be retail and service, not blank commercial facades that became the norm in Cathedral Square.",713ead844fb3ff15ead4079f04c140806a777beff087f7e55b19a581e69ae08c
104,"I want Cathedral Square that feels safe at any time of the day or night, cafes, restaurants, concert areas, less business offices on the ground floor, vibrancy",976bc43afec38d9dd1b6b94edbdc13e81cab163eca28d9dd1dd22b8747adb6ba
105,"A place to be entertained with a vibrant feel-hotels, bars, cafes, restaurants, theatre, movies, green spaces-like leicester square, London",efabda3db3bd97a173665c823a20539c51a6224bcf944be771eee4c7a7468643
106,Need a centre that is packed with people day and night. Bring outdoor cafe spaces to the square and very close residential development,86dbdd9e451dbad3ce8eb2d08f6221dd906d2012f34c9b6b5f8ec0d5a1d1af42
107,"I would love to see more apartment living, green public spaces and to retain our cafe culture with cafes spilling out onto squares and courtyards like in European cities",fec1b98903ea5e8955487541dd6050c7b343a6f306df1ebb2fa267eed63a83b8
108,cafes and bars with outside spaces.,30697ac9e9d209ec28472d30a79f172705c3f0fff84ecca84121f6cde60e3e5b
109,"outside cafes, beautiful sculptures, outside music and dancing areas, bands.",710ac98075dad28b2020eab6eb759daef74f4f75efc606e98f62145d52b8930c
110,"Provide space, and encourage, cafes and restaurants to sprawl outdoors in summer.",34845fca84b696f1bcd563eaa84959ae0a88d38e091ff45cdc55a00d210356a6
111,Restaurants and cafes with open-air courtyards for al fresco dining.,006ea7eec818624a3cc887b25db0e7e8c46fc34806f37485d1c43cc3a9351338
112,many cafes with outdoor terraces in the central hub of the city.,b2bc7e04f36eb0361e1b32cd807fa5a48a879eb8fe7696f4135ffe83d9eeeca4
113,Lots of sheltered sunny outdoor areas outside cafe's and shops protected from the easterly wind where people can meet and sit,c4493f92bc41ee76227647c7f062ebbbc9da3120c0571f80b21f2bb007abe744
114,Cafes should be located on the south (sunny) sides of spaces and the CBD needs plenty of trees to mitigate against the killer easterly wind.,0876831c5b14196bc93667ebadddf0b34feac22e8d80e626ccf33114624fef79
115,Don't have bars in the very centre of the city that are open to 5 am. Either limit the opening hours or put them somewhere else,1ff8f1b01f0ef428e06ba0d0ae60e65c1ad6e65efa46f8a0571438e849f001ad
116,"I personally in favour of more Bars and Restaurants in the central and fine dining places in the CBD. But, rather than giving permits / consents for bars & restaurants like issuing raffle tickets, the council should come up with a programme for theme bars & restaurants.",8c4c623b962faec309d10c20428d28c15659e696911604b4d9c728b3747d8a1d
117,"have a real city mall, free parking, good shops, art cinemas, food cts, mall-wide vouchers, warm enclosed space.",d46dac762e024d144a56cbbc7894f12703e526484adc609b6aefd5295ca6a3ad
118,Create an area for cinemas.,09cdaf7dfc4859afe767ef1d893d3b69f0ea086b1ccd448514358b3c4dd3fdf0
119,a multiplex of cinema complete in the square,bb7439827211f02d8da9f687dd6ca0d3cf28ff4c9ab2b9010be28984f10e698b
120,"Art house cinema – really missing the Art Centre, Academy and Cloisters movie theatres.",bdda99d3ca08526443309e24fd4d4bc2a76bb76bb1842dc69a62812fab93d54d
121,Bring cinemas back to the square and create a venue there for the Court Theatre,c8083eb48fd7cf9c5a08344802bbc89ae344ea96a992da87e0b4fa6b35b39b51
122,"I remember as a child how I used to love going to the square. All the movie theatres were around it, you could go for a late supper, there were lunch time concerts, it was a dynamic, exciting place to be.",a8b6c1667055846e7cd1baeed91f5e1c3383da4b35f96797d0524118540acbda
123,Central city alternative movie theatres showing something other than Hollywood tripe.,659c1e1fd5c31263b203347f6b6d207ed236e02392bca026e137f8ab7f2096ae
124,"Nightlife! Performing Arts, plays, theatre, spaces for quirky arty cafes where conversations can be had over world class coffee & candles",7687059e86f660b6ff661866aaa3a6000228acdf64ace3238f76435d9ebb76c2
125,night life with safe places to wander.,42d43bfac4b34deaa48522c6a2c89e9842cbcae203f6e333c9e3bb05ffdea74f
126,We need to have a bright night life without dark areas where low life can congregate.,d284eaecee696e7c75793180ea963c1761b42a41b71a33092b386d097faddfdf
127,"I also think having an area in which nightlife can be available for the people who want it, such as clubs and bars, but isn't in such a place that affects the people who are in the city for meals or shows. Then a nightlife zone with the clubs and bars.",ba7e8080d2085526afe2589f7d024ea00883808d449f5fb3937a5299cf704a80
128,"Revitalise the square to have more of a European flare, engineer space to deal with the wind then have stalls, coffee places, art, cafes.",8e45665b3e46d86e02c4b743462c57b7aafb436c5a99794bdc541e8424fda8b3
129,surround the square with cafes and restaurants.,e3e8b3171ecacfe9fd284d520bcb68ba126b2bf6f05ed9da4f5198ac5d50588e
130,"cafes around cathedral, retail & offices on 2nd floor with apartment living above. Green up square",dad235d497c81b07ef681e91f8b6ce5a51361ad3a482ec6e175bd9ac2652d047
131,Grass & gardens in the square with cafes around the perimeter.The square should be a beautiful hub of activity.,ceb91c4054cfcd41831447f5a3439f2938b8cd04eabee9eabf9656afc83af9f2
132,Bring green areas back to The Square and have cafes etc around it not banks.,86856c6e131bdbc8d2f4868d740c7af191bc9550b28f078b7fb2bed8a0ec9faf
133,Make the Square the heart / soul of the city by zoning out banks / offices on ground floors and encouraging more cafes and cultural events.,d12fb517b1918bb60c59276644d99194165b3d9c3cd48d59706e31b847253081
134,Enliven cashel mall. Ballantynes plus a 3? storey comprehensive shopping area as in many cities plus outdoor cafes etc,1e7f7edb58dd2430a100ce9fc471c579b6ab36d0342ba044befa66a5fb399ecc
135,Small busy back alleys like Sol Square and Poplar Lane.,ec49b4ac96cd3ce9169d8c3d977372eaa6c60e914a6a28ae4e700c868eb51b5f
136,"Combination of alleyways (eg Poplar Lane) of bars / restaurants, w open green spaces. Street dining.",916c9be1e6ca9eb876068ed70967dd8d1b3eb73bff677d6ed17d196030f62b2a
137,well thought out areas like SOL square and The Lanes ',dfaeac395344ca8269da0467b6b42da66a5d8ad09a951d8f3cc9f6954894b5ed
138,Courtyards as part of building developments,d88e6d3ae20b02d3daadf28a7c4c57fa3e5250851cab261e90b3c5f19292eb8c
139,lots of courtyards.,b19154818123884b98b0572d1f60147392d8ed57538227e762d0f9bc69611537
140,"inner courtyards bounded by buildings, think Berlin's hofs & contemporary versions of the Arts Centre's inner courtyards.",a3de2ea05186919ebaef5d66044c398f44c5bd23ca8eb764779de874efa05e23
141,"Low-rise, shared courtyards.",16353aafc58fedcf18b69f87b66800c3346bd6f0a53cca40c726caf84086e410
142,I like the courtyard philosophy.,28f6556f0dc1e25126c0e31d3a804a3b82b8fc4c3adcd9075001359bd6af84eb
143,green apartments with rooftop gardens and lush courtyards.,8e54185900506dac52db3b1a359e4927e2eb6c1d54e492f6ddf8993eb69aa3ed
144,I would like to see more intimate courtyards with cafes and water features.,f68970c27409c810e62703eddff959aa5aad525e0c47c2c5a51be2e07dade40e
145,"To facilitate the required fluid connectivity between the indoor and outdoor spaces, courtyards, covered terraces, cloisters and meandering pathways linking sprawling gardens, both functional and decorative, to built up areas, would be widely used.",386e4c6b5acadc26ea8e5b8cb36ff89c4c3340dca07fadc9b6f7bda799d5362a
146,The Integration of courtyards & gardens In & around buildings.,58f1bba6fca045f5793fb4316acc5d1eb0c01fbcfc6efe804e3710a7172efc4b
147,"Rebuild without high rise buildings around an inner courtyard for a mix of retail, residential, and commercial tenants.",c25b2f859760591af637345dd9cf4ff2efef6662efe17ecb442c3714e260f491
148,Maybe courtyard style like the arts centre.,452b767fc390406aaacb5cc9eb177e5f959af5e6741bdd886214205334d74be7
149,"Would like to see buildings with green space, say a central courtyard for staff facilities, atrium style",98ba4c5790710655cc851a11615bead33ca17fa6c5e2f3f7d3527a91936b3478
150,Increase communal green space in the inner city with a range of courtyard parks and gardens,dc7220e43070a827f413b6be113eea945e814226e220b98e74153ba79d0e43b0
151,"High density developments could cluster buildings around pedestrian green space forming the core of a block, with ground floor retail activity facing the courtyard and the street, and apartments and offices above.",2a939f490d260e72b422d3a472c3a6577957093928fd75609c815d951eca0497
152,Low rise buildings surrounding a courtyard.,2a9c8c56da367423684b33741896cedfbff30111633ebbd85a92b1bc30b0461f
153,eating places not fast food outlets please!!,770d27c56e06e641eea6fa14f5a6eb7fbc89bebeeb998563dc268c3c35975d2f
154,"Please don't have all the fast-food places altogether. Colombo St was noisy, dirty and felt unsafe late at night. The centre is for everyone, not just the teenagers (who used to hang outside these places!)",2b5c72c6d1c073db451be5ac948a5743048d3dbb63092b61c93dda391a588ef4
155,"An area of the inner city rebuilt or designated as a China Town, with yummy restaurants, shops, celebrating chch's ethnic diversity.",a1563d578a2b8c91e80203e0ed654b035d256a813d0e6ba130d7d924393f80d0
156,A multi-ethnic area modelled on a China,b26c25ff1a10f99ad87dc77ca4f93ceb60bea3fb408f25af6bb6ff9ec8e92706
157,Make a market / chinatown area,7db119f7db92053b43e2219e9f5433863f806f7031fb4c5f467043481e4564b5
158,Ethnic themed areas,200208388ae4b2a857aba710f9df74d2eaf6b10f01dbb841d277823036729fa4
159,an ethnic food court place,c4e2e8f963057c5b027dab5f12f80753186bd8274f6c1037fe969712f0a83e73
160,more outdoor eating ethnic areas grouped,4e27da5054306b2d131ac4267c9462ce73975d2626541bd549832ccd48830e03
161,"Encourage ethnic areas, they add so much life to cities.",63b85d3a3156db2a00f3fc3da52fa8cab4e3e39ec90f366a365196791b7151c5
